type,calories burned,climb (m),duration(s),distance(m),speed(m/s),calories burned per second,day_of_week,month
Running,774.0,130,3520.0,10440.0,2.966666666666667,0.21988636363636363,Sunday,November
Running,954.0,168,4454.0,12840.0,2.8861111111111115,0.2141894925909295,Friday,November
Running,967.0,171,4515.0,13010.0,2.8805555555555555,0.2141749723145072,Sunday,November
Running,960.0,169,4454.0,12980.0,2.9083333333333337,0.21553659631791647,Thursday,November
Running,967.0,170,4332.0,13020.0,2.980555555555556,0.22322253000923362,Saturday,October
Running,764.0,133,3558.0,10290.0,2.891666666666667,0.21472737492973581,Friday,October
Running,953.0,159,4210.0,12930.0,3.0666666666666664,0.22636579572446555,Sunday,October
Running,903.0,134,4149.0,12310.0,2.955555555555556,0.21764280549530007,Friday,October
Cycling,577.0,210,5186.0,19630.0,3.786111111111112,0.11126108754338604,Saturday,October
Running,964.0,171,4393.0,12970.0,2.922222222222222,0.2194400182107899,Sunday,September
Cycling,536.0,199,4271.0,19410.0,4.522222222222223,0.12549754155935378,Saturday,August
Running,334.0,60,2035.0,4380.0,2.1527777777777777,0.16412776412776411,Wednesday,August
Running,1143.0,241,4759.0,15270.0,3.1972222222222224,0.2401765076696785,Wednesday,August
Running,893.0,180,4454.0,12710.0,2.830555555555556,0.20049393803322857,Friday,July
Running,795.0,85,3558.0,11010.0,3.094444444444445,0.22344013490725126,Friday,July
Running,801.0,87,3341.0,11040.0,3.305555555555556,0.23974857826997906,Wednesday,July
Running,1261.0,266,5857.0,17850.0,3.0472222222222225,0.21529793409595355,Saturday,July
Running,1261.0,260,5796.0,17950.0,3.083333333333333,0.21756383712905453,Thursday,June
Running,1007.0,211,4515.0,14380.0,3.1555555555555554,0.2230343300110742,Thursday,June
Running,811.0,145,3722.0,11630.0,3.083333333333333,0.21789360558839332,Monday,June
Running,1057.0,243,4759.0,14950.0,3.1527777777777777,0.22210548434545072,Saturday,June
Running,890.0,173,4027.0,12750.0,3.15,0.22100819468587038,Wednesday,June
Running,1101.0,209,4942.0,15740.0,3.1611111111111114,0.22278429785511938,Monday,June
Running,901.0,170,4027.0,12780.0,3.136111111111111,0.22373975664266202,Wednesday,June
Running,1240.0,235,5613.0,17580.0,3.1333333333333333,0.22091573133796544,Sunday,June
Running,907.0,172,4088.0,12810.0,3.1305555555555555,0.2218688845401174,Wednesday,May
Running,1078.0,208,4820.0,15590.0,3.227777777777778,0.2236514522821577,Wednesday,May
Running,899.0,168,4027.0,12790.0,3.1777777777777776,0.22324310901415445,Monday,May
Running,893.0,168,3905.0,12790.0,3.238888888888889,0.22868117797695262,Friday,May
Running,889.0,167,3905.0,12800.0,3.238888888888889,0.22765685019206147,Tuesday,May
Running,892.0,170,4088.0,12760.0,3.105555555555556,0.2181996086105675,Wednesday,May
Running,1098.0,234,5430.0,15380.0,2.8194444444444446,0.2022099447513812,Saturday,May
